,value
0,<p>{{c1::农民工}}<br>{{c2::nóng mín gōng}}<br>
1,<p>{{c1::纪录片}}<br>{{c2::jì lù piàn}}<br>
2,<p>{{c1::迁徙}}<br>{{c2::qiān xǐ}}<br>
3,<p>{{c1::浩浩荡荡}}<br>{{c2::hào hào dàng dàng}}<br>
4,<p>{{c1::轰轰烈烈}}<br>{{c2::hōng hōng liè liè}}<br>
5,<p>{{c1::漂泊}}<br>{{c2::piāo bó}}<br>
6,<p>{{c1::遇见}}<br>{{c2::yù jiàn}}<br>
7,<p>{{c1::碰到}}<br>{{c2::pèng dào}}<br>
8,<p>{{c1::厉害}}<br>{{c2::lì hai}}<br>
9,<p>{{c1::否则}}<br>{{c2::fǒu zé}}<br>
10,<p>{{c1::唠叨}}<br>{{c2::láo dao}}<br>
11,<p>{{c1::毅然决然}}<br>{{c2::yì rán jué rán}}<br>
12,<p>{{c1::辍学}}<br>{{c2::chuò xué}}<br>
13,<p>{{c1::仿佛}}<br>{{c2::fǎng fú}}<br>
14,<p>{{c1::一瞬间}}<br>{{c2::yī shùn jiān}}<br>
15,<p>{{c1::来临}}<br>{{c2::lái lín}}<br>
16,<p>{{c1::瘫痪}}<br>{{c2::tān huàn}}<br>
17,<p>{{c1::耽误}}<br>{{c2::dān wu}}<br>
18,<p>{{c1::经历}}<br>{{c2::jīng lì}}<br>
19,<p>{{c1::依然}}<br>{{c2::yī rán}}<br>
20,<p>{{c1::献给}}<br>{{c2::xiàn gěi}}<br>
21,<p>{{c1::视觉}}<br>{{c2::shì jué}}<br>
22,<p>{{c1::情感}}<br>{{c2::qíng gǎn}}<br>
23,<p>{{c1::拍摄}}<br>{{c2::pāi shè}}<br>
24,<p>{{c1::失去}}<br>{{c2::shī qù}}<br>
25,<p>{{c1::关于}}<br>{{c2::guān yú}}<br>
26,<p>{{c1::不仅仅是}}<br>{{c2::bù jǐn jǐn shì}}<br>
27,<p>{{c1::更是}}<br>{{c2::gèng shì}}<br>
28,<p>{{c1::⺠族}}<br>{{c2::mín zú}}<br>
29,<p>{{c1::变故}}<br>{{c2::biàn gù}}<br>
30,<p>{{c1::旅游景点}}<br>{{c2::lǚ yóu jǐng diǎn}}<br>
31,<p>{{c1::意义}}<br>{{c2::yì yì}}<br>
32,<p>{{c1::所思所想}}<br>{{c2::suǒ sī suǒ xiǎng}}<br>
33,<p>农民工{{c1::migrant workers}}</p>
34,<p>纪录片{{c1::newsreel; documentary (film or TV program); Classifiers: 部}}</p>
35,<p>迁徙{{c1::to migrate; to move}}</p>
36,<p>浩浩荡荡{{c1::grandiose; majestic}}</p>
37,<p>轰轰烈烈{{c1::strong; vigorous; large-scale}}</p>
38,<p>漂泊{{c1::to drift (in the tide); to rove; to lead a wandering existence; drifter; wanderer}}</p>
39,<p>遇见{{c1::to meet}}</p>
40,<p>碰到{{c1::to come across; to run into; to meet; to hit}}</p>
41,<p>厉害{{c1::difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome}}</p>
42,<p>否则{{c1::if not; otherwise; else; or else}}</p>
43,<p>唠叨{{c1::to prattle; to chatter away; to nag; garrulous; nagging}}</p>
44,<p>毅然决然{{c1::without hesitation; resolutely; firmly}}</p>
45,<p>辍学{{c1::to drop out of school; to leave off studying; to interrupt one's studies}}</p>
46,<p>仿佛{{c1::to seem; as if; alike; similar}}</p>
47,<p>一瞬间{{c1::split second}}</p>
48,<p>来临{{c1::to approach; to come closer}}</p>
49,"<p>瘫痪{{c1::paralysis; be paralyzed (body, transportation, etc)}}</p>"
50,<p>耽误{{c1::to delay; to hold up; to waste time; to interfere with}}</p>
51,<p>经历{{c1::experience; Classifiers: 个 ; to experience; to go through}}</p>
52,<p>依然{{c1::still; as before}}</p>
53,<p>献给{{c1::present to; offer to}}</p>
54,<p>视觉{{c1::sight; vision; visual}}</p>
55,<p>情感{{c1::feeling; emotion; to move (emotionally)}}</p>
56,<p>拍摄{{c1::to film; to shoot (a picture)}}</p>
57,<p>失去{{c1::to lose}}</p>
58,<p>关于{{c1::pertaining to; concerning; with regard to; about; a matter of}}</p>
61,<p>⺠族{{c1::nationality; ethnic group; Classifiers: 个}}</p>
62,<p>变故{{c1::an unforeseen event; accident; misfortune}}</p>
63,<p>旅游景点{{c1::tourist attraction; travel sight}}</p>
64,<p>意义{{c1::sense; meaning; significance; importance; Classifiers: 个}}</p>
